0,AA13,Leslie Howard,scientist
1,AA13,Wendy Hiller,innocent
2,AA13,Wilfrid Lawson,undetermined
3,AA13,Scott Sunderland,undetermined
4,AA13,Marie Lohr,undetermined
5,AA13,David Tree,undetermined
6,AA13,Esme Percy,undetermined
7,AA13,Everley Gregg,undetermined
8,AA13,Jean Cadell,undetermined
9,AA14,Ray Milland,undetermined
10,AA14,Ellen Drew,undetermined
11,AA14,Guy Middleton,undetermined
12,AA14,Ronald Culver,undetermined
13,AA16,Margaret Lockwood,undetermined
14,AA16,Derek Farr,undetermined
15,AA16,A.E. Matthews,undetermined
16,AA16,Marjorie Fielding,undetermined
17,AA16,Athene Seyler,undetermined
18,AA16,Peggy Ashcroft,undetermined
19,AA16,Margaretta Scott,undetermined
20,AA16,Bernard Miles,undetermined
21,AA29,Michael Redgrave,undetermined
22,AA29,Michael Denison,undetermined
23,AA29,Edith Evans,undetermined
24,AA29,Margaret Rurtherford,undetermined
25,AA29,Jaen Greenwood,undetermined
26,AA29,Miles Malleson,undetermined
27,AA29,Doroty Tutin,undetermined
28,AA29,Walter Hudd,undetermined
29,AA37,Dirk Bogarde,undetermined
30,AA37,Olivia deHavilland,undetermined
31,AA37,Paul Massie,undetermined
32,AA37,Wilfrid Hyde White,undetermined
33,AA37,Robert Morley,undetermined
34,AA37,Anthony Dawson,undetermined
35,AA37,Richard Wattis,undetermined
37,AA37,Millicent Martin,undetermined
38,AA38,Peter Sellers,undetermined
39,AA38,Sophia Loren,undetermined
40,AA38,Alastair Sim,undetermined
41,AA38,Vittorio deSics,undetermined
42,AA38,Dennis Price,undetermined
43,AA38,Gary Raymond,undetermined
44,AA38,Alfie Bass,undetermined
45,AA41,Richard Burton,undetermined
46,AA41,Elizabeth Taylor,undetermined
47,AA41,Maggie Smith,undetermined
48,AA41,Rod Taylor,undetermined
49,AA41,Margaret Rutherford,undetermined
50,AA41,Louis Jordon,undetermined
51,AA41,Elsa Martinelli,undetermined
52,AA41,Orson Welles,undetermined
53,AA41,Linda Chistian,undetermined
54,AA41,Dennis Price,undetermined
55,AA41,Richard Wattis,undetermined
56,AA41,David Frost,undetermined
57,AA41,Robert Coote,undetermined
58,AA41,Joan Benham,undetermined
59,AA41,Michael Hodern,undetermined
60,AA41,Lance Percival,undetermined
61,AA41,Martin Miller,undetermined
62,AaB10,Michael Palin,undetermined
63,AaB10,Maggie Smith,undetermined
64,AaB10,Denholm Elliott,undetermined
65,AaB10,Richard Griffiths,undetermined
66,AaB10,Tony Haygarth,undetermined
67,AaB10,Liz Smith,undetermined
68,AaB10,John Normington,undetermined
69,AaB10,s a,animal
70,AAl6,Alan Alda,undetermined
71,AAl6,Carol Burnett,undetermined
72,AAl6,Len Cariou,undetermined
73,AAl6,Sandy Dennis,undetermined
74,AAl6,Rita Moreno,undetermined
75,AAl6,Jack Weston,undetermined
76,AAl6,Bess Armstrong,undetermined
77,AAl10,Alan Alda,hero
78,AAl10,Michael Caine,villain}
79,AAl10,Michelle Pfeiffer,savior
80,AAl10,Bob Hoskins,savior
81,AAl10,Lise Hilboldt,love interest
82,AAl10,Lillian Gish,undetermined
83,AAl10,Saul Rubinek,undetermined
84,AAl10,Lois Chiles,undetermined
85,AAl20,Molly Ringwald,undetermined
86,AAl20,Alan Alda,undetermined
87,AAl20,Joey Bishop,undetermined
88,AAl20,Madeleine Kahn,undetermined
89,AAl20,Ally Sheedy,undetermined
90,AAl20,Anthony LaPaglia,undetermined
91,AAl20,Julie Bovassa,undetermined
92,AAl20,Joe Pesci,undetermined
93,AAl20,Catherine OHara,undetermined
94,AAl20,Dylan Walsh,undetermined
95,AAl20,Burt Young,undetermined
96,AAn10,Brooke Adams,undetermined
97,AAn10,Ione Skye,undetermined
98,AAn10,Faraizu Baik,undetermined
99,AAn10,Donovan Leitch,undetermined
100,AAn12,Angel Avilea,undetermined
101,AAn12,Seidy Lopez,undetermined
102,AAn12,Jacob Vargas,undetermined
103,AAr10,P.J. Sales,undetermined
104,AAr10,Vincent VanPatten,undetermined
105,AAr10,Clint Howard,undetermined
106,AAr10,The Ramones,undetermined
107,AAr10,Paul Bartel,undetermined
108,AAr10,Alix Elias,undetermined
109,AAr20,Andy Kaufman,undetermined
110,AAr20,Bernadette Peters,undetermined
111,AAr20,Randy Quaid,undetermined
112,AAr20,Melanie Mayron,undetermined
113,aAS24,Scott Baio,undetermined
114,AAt10,Gaston Batyi,undetermined
115,AAt10,Jose Sacristan,undetermined
116,AAt10,Frederico Luppi,undetermined
117,AAt10,Cecilia Roth,undetermined
118,AAt10,Leonor Benedetto,undetermined
119,AB2,Thais Galizky,undetermined
120,AbA10,Francesca Bertini,undetermined
121,AbA10,Gustavo Serena,undetermined
122,AbA10,Alfredo DeAntoni,undetermined
123,AbA10,Lido Manetti,undetermined
124,AbA10,Nella Montagna,undetermined
125,AbA10,Vittorio DeSica,undetermined
126,ABd4,Richard Boone,undetermined
127,ABd4,Theodore Bikel,undetermined
128,ABe10,Georges duFresne,undetermined
129,AbF10,Zoe Tamerlis,undetermined
130,AbF10,Steve Singer,undetermined
131,AbF10,Jack Thibeau,undetermined
132,AbF10,Peter Yellen,undetermined
133,AbF20,Christopher Walken,undetermined
134,AbF25,Harvey Keitel,undetermined
135,AbF25,Zoe Lund,undetermined
136,AbF25,Frankie Thorn,undetermined
137,AbF26,Madonna,undetermined
138,AbF26,Harvey Keitel,undetermined
139,AbF26,James Russo,undetermined
140,AbF27,Gabrielle Anwar,undetermined
141,AbF27,Terry Kinney,undetermined
142,AbF27,Meg Tilly,undetermined
143,AbF27,Reilly Murphy,undetermined
144,ABi10,Faye Dunaway,love interest
145,ABi10,Klaus Maria Brandauer,undetermined
146,ABi10,David Ebbets,undetermined
147,ABi10,Ian Richardson,undetermined
148,ABi10,John Nettleton,scientist
149,ABi10,N. Ottering,undetermined
150,ABi20,Andrew Robertson,undetermined
151,ABi20,Sinead Cusack,undetermined
152,ABi20,Charlotte Gainsbourg,undetermined
